coin_name,website,ip,org,city,country,region,loc,postal,timezone,ip_location_error,hostname,anycast
Syscoin,http://syscoin.org,172.67.75.111,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Bytom,http://bytom.io,47.75.116.232,"AS45102 Alibaba (US) Technology Co., Ltd.",Hong Kong,HK,Central and Western,"22.2783,114.1747",,Asia/Hong_Kong,Error,,
Elastos,https://www.elastos.org,104.16.148.30,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Monacoin,http://monacoin.org,104.21.5.216,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
LBRY Credits,https://lbry.com,104.21.4.4,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
XeniosCoin,https://xenioscoin.com,104.21.1.109,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Handshake,https://handshake.org,172.67.221.77,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Aion,https://theoan.com,104.22.18.179,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Hyundai DAC,https://www.hdactech.com,210.91.125.204,AS4766 Korea Telecom,Seoul,KR,Seoul,"37.5660,126.9784",03186,Asia/Seoul,Error,,
Bytecoin,https://bytecoin.org,199.247.13.29,"AS20473 The Constant Company, LLC",Paris,FR,Île-de-France,"48.8925,2.3444",75868 CEDEX 18,Europe/Paris,Error,199.247.13.29.vultr.com,
WallStreetBets Coin,https://wsbcoin.cash,104.21.9.130,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Nimiq,https://nimiq.com,54.39.52.205,AS16276 OVH SAS,Toronto,CA,Ontario,"43.7001,-79.4163",M5N,America/Toronto,Error,web-can-1.inf.nimiq.network,
Beam,https://www.beam.mw,172.67.37.146,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Nexus,https://nexus.io,69.195.149.58,"AS19969 Joe's Datacenter, LLC",Kansas City,US,Kansas,"39.1142,-94.6275",66101,America/Chicago,Error,site.nexus.io,
Ergo,http://ergoplatform.org,104.21.34.26,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
BigBang,https://www.bigbangcore.com,47.91.176.7,"AS45102 Alibaba (US) Technology Co., Ltd.",Kowloon,HK,Kowloon City,"22.3167,114.1833",,Asia/Hong_Kong,Error,,
Einsteinium,https://emc2.foundation,198.185.159.144,"AS53831 Squarespace, Inc.",New York City,US,New York,"40.7339,-74.0054",10014,America/New_York,Error,,True
Aeternity,https://www.aeternity.com,104.21.1.196,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Groestlcoin,http://www.groestlcoin.org,172.67.187.88,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
MOAC,https://moac.io,52.15.228.248,"AS16509 Amazon.com, Inc.",Hilliard,US,Ohio,"40.0334,-83.1582",43026,America/New_York,Error,ec2-52-15-228-248.us-east-2.compute.amazonaws.com,
DARMA Cash,https://www.darmacash.com,54.179.133.132,"AS16509 Amazon.com, Inc.",Singapore,SG,Singapore,"1.2897,103.8501",048508,Asia/Singapore,Error,ec2-54-179-133-132.ap-southeast-1.compute.amazonaws.com,
Firo,https://zcoin.io,172.67.69.13,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Pirate Chain,https://pirate.black,104.26.6.18,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Kadena,https://www.kadena.io,35.247.254.172,AS15169 Google LLC,São Paulo,BR,São Paulo,"-23.5475,-46.6361",01000-000,America/Sao_Paulo,Error,172.254.247.35.bc.googleusercontent.com,
HyperCash,https://h.cash,47.88.219.153,"AS45102 Alibaba (US) Technology Co., Ltd.",Singapore,SG,Singapore,"1.2897,103.8501",048508,Asia/Singapore,Error,,
